"no","small","big"
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.973333333333333,0.0266666666666667,0
1,0,0
1,0,0
0.96,0.0266666666666667,0.0133333333333333
1,0,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.973333333333333,0.0266666666666667,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.973333333333333,0.0266666666666667,0
0.973333333333333,0.0266666666666667,0
1,0,0
0.76,0.24,0
1,0,0
1,0,0
0.973333333333333,0.0266666666666667,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
0.973333333333333,0.0266666666666667,0
0.986666666666667,0.0133333333333333,0
0.92,0.08,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.906666666666667,0.08,0.0133333333333333
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
0.986666666666667,0,0.0133333333333333
0.933333333333333,0.0666666666666667,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0,0.0133333333333333
0.986666666666667,0.0133333333333333,0
0.986666666666667,0,0.0133333333333333
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.946666666666667,0.0533333333333333,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.973333333333333,0,0.0266666666666667
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.52,0.0266666666666667,0.453333333333333
0.946666666666667,0.0533333333333333,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
0.96,0.0133333333333333,0.0266666666666667
0.986666666666667,0.0133333333333333,0
0.986666666666667,0.0133333333333333,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.973333333333333,0.0266666666666667,0
1,0,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
0.986666666666667,0.0133333333333333,0
0.973333333333333,0.0133333333333333,0.0133333333333333
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0,0.0133333333333333
1,0,0
1,0,0
1,0,0
0.946666666666667,0.0533333333333333,0
1,0,0
1,0,0
0.96,0.04,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
0.853333333333333,0.133333333333333,0.0133333333333333
1,0,0
1,0,0
1,0,0
0.946666666666667,0.0266666666666667,0.0266666666666667
0.986666666666667,0,0.0133333333333333
0.813333333333333,0.186666666666667,0
0.973333333333333,0.0266666666666667,0
0.986666666666667,0,0.0133333333333333
1,0,0
1,0,0
1,0,0
0.986666666666667,0.0133333333333333,0
0.986666666666667,0,0.0133333333333333
1,0,0
1,0,0
1,0,0
0.933333333333333,0.0666666666666667,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.906666666666667,0.0933333333333333,0
