Time,specific_humidity[unit:kg/kg]
1984-01-01 00:00:00 UTC,3.1599999061882045E-8
1984-01-02 00:00:00 UTC,2.180000002738325E-8
1984-01-03 00:00:00 UTC,2.4300000234234176E-8
1984-01-04 00:00:00 UTC,3.11000007968687E-8
1984-01-05 00:00:00 UTC,3.11000007968687E-8
1984-01-06 00:00:00 UTC,3.070000076377255E-8
1984-01-07 00:00:00 UTC,3.0900000780320624E-8
1984-01-08 00:00:00 UTC,3.1199999028785896E-8
1984-01-09 00:00:00 UTC,3.310000096234944E-8
1984-01-10 00:00:00 UTC,2.76000005072774E-8
1984-01-11 00:00:00 UTC,2.9900000697580253E-8
1984-01-12 00:00:00 UTC,2.8900000614839882E-8
1984-01-13 00:00:00 UTC,2.790000053209951E-8
1984-01-14 00:00:00 UTC,2.380000019286399E-8
1984-01-15 00:00:00 UTC,1.7399999663325616E-8
1984-01-16 00:00:00 UTC,1.5299999489570837E-8
1984-01-17 00:00:00 UTC,1.619999956403717E-8
1984-01-18 00:00:00 UTC,9.99999993922529E-9
1984-01-19 00:00:00 UTC,1.2000000104706032E-8
1984-01-20 00:00:00 UTC,1.2200000121254106E-8
1984-01-21 00:00:00 UTC,1.5599999514392948E-8
1984-01-22 00:00:00 UTC,1.999999987845058E-8
1984-01-23 00:00:00 UTC,1.9599999845354432E-8
1984-01-24 00:00:00 UTC,2.3300000151493805E-8
1984-01-25 00:00:00 UTC,2.900000062311392E-8
1984-01-26 00:00:00 UTC,3.239999912807434E-8
1984-01-27 00:00:00 UTC,2.5800000358344732E-8
1984-01-28 00:00:00 UTC,3.010000071412833E-8
1984-01-29 00:00:00 UTC,2.800000054037355E-8
1984-01-30 00:00:00 UTC,2.590000036661877E-8
1984-01-31 00:00:00 UTC,2.5300000316974547E-8
1984-02-01 00:00:00 UTC,2.790000053209951E-8
1984-02-02 00:00:00 UTC,2.3600000176315916E-8
1984-02-03 00:00:00 UTC,2.420000022596014E-8
