Time,specific_humidity[unit:kg/kg]
1984-01-01 00:00:00 UTC,2.0041424519945394E-8
1984-01-02 00:00:00 UTC,1.4566448491848405E-8
1984-01-03 00:00:00 UTC,1.992284914820175E-8
1984-01-04 00:00:00 UTC,2.673360555149884E-8
1984-01-05 00:00:00 UTC,2.5526137648057556E-8
1984-01-06 00:00:00 UTC,2.6407793285443404E-8
1984-01-07 00:00:00 UTC,2.7087432741268458E-8
1984-01-08 00:00:00 UTC,2.6230880578737015E-8
1984-01-09 00:00:00 UTC,2.6341854919564867E-8
1984-01-10 00:00:00 UTC,2.025371514946528E-8
1984-01-11 00:00:00 UTC,2.3732342313564914E-8
1984-01-12 00:00:00 UTC,2.1471276312468035E-8
1984-01-13 00:00:00 UTC,2.01569818614189E-8
1984-01-14 00:00:00 UTC,1.653483572283676E-8
1984-01-15 00:00:00 UTC,1.1978961822478595E-8
1984-01-16 00:00:00 UTC,1.1123420406988771E-8
1984-01-17 00:00:00 UTC,1.0657247528911284E-8
1984-01-18 00:00:00 UTC,6.046493528089059E-9
1984-01-19 00:00:00 UTC,7.955661907033118E-9
1984-01-20 00:00:00 UTC,8.387124772468724E-9
1984-01-21 00:00:00 UTC,1.2325702236637426E-8
1984-01-22 00:00:00 UTC,1.5961349575377426E-8
1984-01-23 00:00:00 UTC,1.708327701521739E-8
1984-01-24 00:00:00 UTC,2.0388437604879073E-8
1984-01-25 00:00:00 UTC,2.4351381355813828E-8
1984-01-26 00:00:00 UTC,2.6607267500367016E-8
1984-01-27 00:00:00 UTC,2.245689501023662E-8
1984-01-28 00:00:00 UTC,2.6579154877026667E-8
1984-01-29 00:00:00 UTC,2.234182794325079E-8
1984-01-30 00:00:00 UTC,1.9121980443514985E-8
1984-01-31 00:00:00 UTC,1.7438468447039668E-8
1984-02-01 00:00:00 UTC,1.7668559948447182E-8
1984-02-02 00:00:00 UTC,1.7727257883848324E-8
1984-02-03 00:00:00 UTC,2.0142838508263594E-8
1984-02-04 00:00:00 UTC,2.378788899193296E-8
1984-02-05 00:00:00 UTC,2.169965185316869E-8
1984-02-06 00:00:00 UTC,1.780839653520161E-8
1984-02-07 00:00:00 UTC,2.2589192738564634E-8
1984-02-08 00:00:00 UTC,2.6200543956633737E-8
1984-02-09 00:00:00 UTC,1.9318854072025715E-8
1984-02-10 00:00:00 UTC,2.2854477421674346E-8
1984-02-11 00:00:00 UTC,2.2869615534659715E-8
1984-02-12 00:00:00 UTC,1.834661489397149E-8
1984-02-13 00:00:00 UTC,2.6915309092601092E-8
1984-02-14 00:00:00 UTC,3.034647022559511E-8
1984-02-15 00:00:00 UTC,2.512882701921626E-8
1984-02-16 00:00:00 UTC,1.9130775186226856E-8
1984-02-17 00:00:00 UTC,2.4161895595398164E-8
1984-02-18 00:00:00 UTC,2.0936370859203635E-8
1984-02-19 00:00:00 UTC,1.647556935324701E-8
1984-02-20 00:00:00 UTC,1.6077217779297825E-8
1984-02-21 00:00:00 UTC,1.9063403300378923E-8
1984-02-22 00:00:00 UTC,1.9077086577112823E-8
1984-02-23 00:00:00 UTC,1.7356709847149432E-8
1984-02-24 00:00:00 UTC,1.8928103528992324E-8
1984-02-25 00:00:00 UTC,2.3625794653980847E-8
1984-02-26 00:00:00 UTC,2.442776114719436E-8
1984-02-27 00:00:00 UTC,1.8250077005177445E-8
1984-02-28 00:00:00 UTC,1.868189691833777E-8
1984-02-29 00:00:00 UTC,2.1066252742230063E-8
1984-03-01 00:00:00 UTC,2.3722737552134276E-8
1984-03-02 00:00:00 UTC,2.6382018347703706E-8
1984-03-03 00:00:00 UTC,2.787213837507352E-8
1984-03-04 00:00:00 UTC,2.0113215981609756E-8
1984-03-05 00:00:00 UTC,1.5146520482289816E-8
1984-03-06 00:00:00 UTC,1.8558587555617123E-8
1984-03-07 00:00:00 UTC,2.1711565878490546E-8
1984-03-08 00:00:00 UTC,2.3971853835291768E-8
1984-03-09 00:00:00 UTC,2.691117018116529E-8
1984-03-10 00:00:00 UTC,2.704077495252477E-8
