Time,Year,Month,Day,vs
1984-01-01,1984,01,01,0.282191277
1984-01-02,1984,01,02,0.334918678
1984-01-03,1984,01,03,0.401055187
1984-01-04,1984,01,04,0.363462478
1984-01-05,1984,01,05,0.378980547
1984-01-06,1984,01,06,0.300300121
1984-01-07,1984,01,07,0.278280348
1984-01-08,1984,01,08,0.318729728
1984-01-09,1984,01,09,0.305067837
1984-01-10,1984,01,10,0.328753889
1984-01-11,1984,01,11,0.426057994
1984-01-12,1984,01,12,0.344060928
1984-01-13,1984,01,13,0.33808133
1984-01-14,1984,01,14,0.457731545
1984-01-15,1984,01,15,0.419744849
1984-01-16,1984,01,16,0.318060189
1984-01-17,1984,01,17,0.349775106
1984-01-18,1984,01,18,0.426327318
1984-01-19,1984,01,19,0.36149475
1984-01-20,1984,01,20,0.372907251
1984-01-21,1984,01,21,0.36615783
1984-01-22,1984,01,22,0.338239014
1984-01-23,1984,01,23,0.416449815
1984-01-24,1984,01,24,0.463031501
1984-01-25,1984,01,25,0.419323117
1984-01-26,1984,01,26,0.350158453
1984-01-27,1984,01,27,0.454893976
1984-01-28,1984,01,28,0.414163113
1984-01-29,1984,01,29,0.431391358
1984-01-30,1984,01,30,0.325983882
1984-01-31,1984,01,31,0.304281235
1984-02-01,1984,01,01,0.37196517
1984-02-02,1984,02,02,0.473576814
1984-02-03,1984,02,03,0.473293662
1984-02-04,1984,02,04,0.372798353
1984-02-05,1984,02,05,0.308579355
1984-02-06,1984,02,06,0.308807313
1984-02-07,1984,02,07,0.325029641
1984-02-08,1984,02,08,0.294718564
1984-02-09,1984,02,09,0.416520268
1984-02-10,1984,02,10,0.418244302
1984-02-11,1984,02,11,0.670406759
1984-02-12,1984,02,12,0.537166417
1984-02-13,1984,02,13,0.423621953
1984-02-14,1984,02,14,0.454392135
1984-02-15,1984,02,15,0.598428071
1984-02-16,1984,02,16,0.311723053
1984-02-17,1984,02,17,0.415058881
1984-02-18,1984,02,18,0.476324856
1984-02-19,1984,02,19,0.252358109
1984-02-20,1984,02,20,0.351005852
1984-02-21,1984,02,21,0.32969588
1984-02-22,1984,02,22,0.417756736
1984-02-23,1984,02,23,0.381770968
1984-02-24,1984,02,24,0.38922137
1984-02-25,1984,02,25,0.355930269
1984-02-26,1984,02,26,0.483150303
1984-02-27,1984,02,27,0.430498779
1984-02-28,1984,02,28,0.238707066
1984-02-29,1984,02,29,0.340354592
1984-03-01,1984,02,01,0.366227806
1984-03-02,1984,03,02,0.327313781
1984-03-03,1984,03,03,0.438717067
1984-03-04,1984,03,04,0.480444819
1984-03-05,1984,03,05,0.348258615
1984-03-06,1984,03,06,0.419711024
1984-03-07,1984,03,07,0.500292659
1984-03-08,1984,03,08,0.321392745
1984-03-09,1984,03,09,0.435475975
1984-03-10,1984,03,10,0.296104521
1984-03-11,1984,03,11,0.330649883
